olt,onu_id,consumo_total,horas_activas,ratio_up_down
OLT VSOL CARAQUITA,GPON01ONU72,375.63,79,0.4749676051360584
OLT VSOL COLONIAS,GPON04ONU18,367.45000000000005,112,0.4191642206086822
OLT VSOL COLONIAS,GPON06ONU23,288.22,91,0.35378111789572564
OLT VSOL FLOR A,GPON06ONU8,280.85,110,0.48511448363386384
OLT VSOL COLONIAS,GPON05ONU120,273.37,91,1.1812016277028643
OLT VSOL FLOR A,GPON03ONU37,271.78,113,0.17227398205659075
OLT VSOL FLOR A,GPON03ONU49,268.49,113,0.3174190382728165
OLT VSOL COLONIAS,GPON03ONU109,261.96,81,0.08091603053435115
OLT VSOL FLOR A,GPON05ONU43,247.65,113,0.25557696207665787
OLT VSOL COLONIAS,GPON01ONU102,240.68,90,1.0912329481275524
OLT VSOL COLONIAS,GPON07ONU2,232.48000000000002,91,0.48473623706731384
OLT VSOL FLOR A,GPON03ONU21,229.72000000000003,113,0.33496048349604834
OLT VSOL COLONIAS,GPON01ONU22,223.55,88,2.2764179979481165
OLT VSOL CARAQUITA,GPON06ONU32,219.7,75,0.8286998501747961
OLT VSOL FLOR A,GPON05ONU83,218.53000000000003,110,0.08258198751610027
OLT VSOL FLOR A,GPON05ONU73,216.73000000000002,112,0.3366019118100524
OLT VSOL COLONIAS,GPON01ONU93,214.01,65,0.2157586774981537
OLT VSOL FLOR A,GPON03ONU32,207.63,112,1.0429991144347142
OLT VSOL COLONIAS,GPON01ONU3,193.3,51,0.20174075225365248
OLT VSOL CARAQUITA,GPON02ONU50,187.74,42,0.018609950626661605
OLT VSOL COLONIAS,GPON06ONU51,184.87,80,0.5422541086176691
OLT VSOL FLOR A,GPON06ONU26,181.98000000000002,111,0.5937992643194955
OLT VSOL FLOR A,GPON05ONU45,177.36,107,0.7006424393518074
OLT VSOL FLOR A,GPON03ONU79,170.82,110,0.6429739347888813
OLT VSOL COLONIAS,GPON03ONU37,167.01,91,2.2460641399416907
OLT VSOL COLONIAS,GPON01ONU94,165.76,89,0.7134587554269175
OLT VSOL COLONIAS,GPON01ONU23,163.73,53,0.03280136251813537
OLT VSOL CARAQUITA,GPON06ONU11,140.2,59,0.8420706871633163
OLT VSOL COLONIAS,GPON01ONU39,137.04,11,0.25909592061742004
OLT VSOL FLOR A,GPON06ONU36,118.13,108,0.7125253696723688
OLT VSOL COLONIAS,GPON07ONU42,117.03,91,0.9047851562500001
OLT VSOL CARAQUITA,GPON03ONU9,112.71,37,0.24362793776895067
OLT VSOL FLOR A,GPON03ONU86,100.77000000000001,55,1.482631189948263
OLT VSOL COLONIAS,GPON06ONU9,99.76,65,0.570528967254408
OLT VSOL COLONIAS,GPON01ONU76,97.89,71,1.4350746268656716
OLT VSOL COLONIAS,GPON06ONU29,89.86,81,0.8489711934156378
OLT VSOL COLONIAS,GPON04ONU19,87.75999999999999,105,0.7323332017370707
OLT VSOL COLONIAS,GPON06ONU39,73.88,91,1.079369546861807
OLT VSOL COLONIAS,GPON01ONU45,65.35,63,0.7657389894623076
OLT VSOL CARAQUITA,GPON02ONU1,60.54,48,0.4065985130111524
OLT VSOL COLONIAS,GPON01ONU81,43.78,64,0.7108245408362642
OLT VSOL COLONIAS,GPON06ONU52,34.760000000000005,20,0.3057851239669422
OLT VSOL COLONIAS,GPON07ONU107,20.71,26,0.22908011869436198
OLT VSOL FLOR A,GPON06ONU29,15.6,46,0.37687555163283315
OLT VSOL FLOR A,GPON06ONU63,13.85,18,0.2788550323176362
OLT VSOL CARAQUITA,GPON03ONU31,13.59,14,0.26066790352504643
OLT VSOL COLONIAS,GPON03ONU110,13.530000000000001,14,0.3316929133858268
OLT VSOL COLONIAS,GPON08ONU12,11.709999999999999,23,0.1594059405940594
OLT VSOL COLONIAS,GPON08ONU88,10.379999999999999,11,0.5065312046444123
OLT VSOL COLONIAS,GPON06ONU27,6.23,11,0.9967948717948717
OLT VSOL COLONIAS,GPON07ONU46,6.09,11,0.5575447570332481
OLT VSOL COLONIAS,GPON07ONU121,5.8,11,0.5143603133159269
OLT VSOL CARAQUITA,GPON02ONU38,4.79,18,0.023504273504273508
OLT VSOL COLONIAS,GPON02ONU95,4.55,7,0.029411764705882356
OLT VSOL COLONIAS,GPON05ONU81,3.96,8,0.02857142857142857
OLT VSOL COLONIAS,GPON08ONU20,3.0500000000000003,11,0.2551440329218107
OLT VSOL COLONIAS,GPON08ONU40,1.9000000000000001,11,0.39705882352941174
OLT VSOL COLONIAS,GPON08ONU86,1.49,9,0.02054794520547945
OLT VSOL COLONIAS,GPON07ONU124,1.48,8,0.020689655172413793
OLT VSOL FLOR A,GPON04ONU39,1.12,8,0.13131313131313133
OLT VSOL COLONIAS,GPON07ONU10,0.86,11,0.02380952380952381
OLT VSOL COLONIAS,GPON06ONU53,0.55,11,0.0
OLT VSOL COLONIAS,GPON02ONU105,0.53,11,0.0
OLT VSOL COLONIAS,GPON02ONU67,0.29000000000000004,4,0.03571428571428571
OLT VSOL COLONIAS,GPON02ONU66,0.18,3,0.125
